EXERCISE,PICTURE,VIDEO,TYPE
"Military Press","https://i.ytimg.com/vi/2yjwXTZQDDI/maxresdefault.jpg","https://www.muscleandstrength.com/exercises/military-press.html","P"
"Seated Dumbbell Shoulder Press","https://i1.wp.com/build-muscle-101.com//wp-content/uploads/2014/12/dumbell_shoulder_press.jpg?w=300","https://www.youtube.com/embed/qEwKCR5JCog","P"
"Standing Dumbbell Press","http://www.burnthefatinnercircle.com/members/images/1767.png","https://www.muscleandstrength.com/exercises/standing-dumbbell-press.html","P"
"Arnold Press","https://gymjunkies.com/wp-content/uploads/2017/06/arnold-press.jpg","https://www.youtube.com/embed/6Z15_WdXmVw","P"
"Lateral Raises","http://cdn2.coachmag.co.uk/sites/coachmag/files/2016/06/lateral-raise.jpg","https://www.youtube.com/embed/geenhiHju-o","S"
"Front Raises","http://www.burnthefatinnercircle.com/members/images/1731.jpg","https://www.youtube.com/embed/-t7fuZ0KhDA","S"
"Upright Rows","http://upl.stack.com/wp-content/uploads/2017/05/18111315/Upright-Row-STACK-654x428.jpg","https://www.youtube.com/embed/jaAV-rD45I0","S"
"Rear Delt Flyes","https://www.oxygenmag.com/.image/t_share/MTQ1MzQ3MzE1OTQ5NjQzNTM3/bent-over-rear-delt-flye.jpg","https://www.youtube.com/embed/0GSu6Z-Oj7U","A"
"Cable Lateral Raises","https://i.ytimg.com/vi/vZhMIixK5ks/maxresdefault.jpg","https://www.youtube.com/embed/PPrzBWZDOhA","A"
"Cable Front Raises","https://weighttraining.guide/wp-content/uploads/2017/02/Cable-Front-Raise.png","https://www.youtube.com/embed/8BicYkycoRs","A"
